                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.00345,                      1,                      1,                 1.1655,             0.00037513,             0.00037513,             0.00037513
                     69,                 0.0028,                      1,                      1,                  1.165,             0.00037173,             0.00037173,             0.00037173
                     70,                0.00745,                      1,                      1,                  1.165,             0.00036831,             0.00036831,             0.00036831
                     71,                0.00452,                      1,                      1,                  1.166,             0.00036486,             0.00036486,             0.00036486
                     72,                0.00712,                      1,                      1,                  1.165,             0.00036138,             0.00036138,             0.00036138
                     73,                 0.0099,                      1,                      1,                  1.166,             0.00035788,             0.00035788,             0.00035788
                     74,                0.00832,                      1,                      1,                  1.165,             0.00035435,             0.00035435,             0.00035435
                     75,                  0.003,                      1,                      1,                  1.166,             0.00035079,             0.00035079,             0.00035079
                     76,                0.00406,                      1,                      1,                 1.1655,             0.00034721,             0.00034721,             0.00034721
                     77,                0.00693,                      1,                      1,                  1.165,             0.00034361,             0.00034361,             0.00034361
                     78,                0.00474,                      1,                      1,                  1.165,             0.00033999,             0.00033999,             0.00033999
                     79,                0.00609,                      1,                      1,                  1.165,             0.00033634,             0.00033634,             0.00033634
                     80,                0.00347,                      1,                      1,                  1.165,             0.00033267,             0.00033267,             0.00033267
                     81,                0.00263,                      1,                      1,                 1.1655,             0.00032898,             0.00032898,             0.00032898
                     82,                0.00191,                      1,                      1,                  1.165,             0.00032527,             0.00032527,             0.00032527
                     83,                0.00575,                      1,                      1,                  1.165,             0.00032155,             0.00032155,             0.00032155
                     84,                0.00165,                      1,                      1,                  1.165,             0.00031781,             0.00031781,             0.00031781
                     85,                0.00335,                      1,                      1,                  1.165,             0.00031405,             0.00031405,             0.00031405
                     86,                0.00579,                      1,                      1,                  1.165,             0.00031028,             0.00031028,             0.00031028
                     87,                0.00767,                      1,                      1,                 1.1655,             0.00030649,             0.00030649,             0.00030649
                     88,                 0.0008,                      1,                      1,                  1.165,             0.00030269,             0.00030269,             0.00030269
                     89,                0.00304,                      1,                      1,                  1.165,             0.00029888,             0.00029888,             0.00029888
                     90,                0.00394,                      1,                      1,                  1.165,             0.00029505,             0.00029505,             0.00029505
                     91,                0.00185,                      1,                      1,                  1.165,             0.00029122,             0.00029122,             0.00029122
                     92,                 0.0042,                      1,                      1,                  1.165,             0.00028737,             0.00028737,             0.00028737
                     93,                0.00334,                      1,                      1,                  1.165,             0.00028352,             0.00028352,             0.00028352
                     94,                0.00661,                      1,                      1,                  1.165,             0.00027966,             0.00027966,             0.00027966
                     95,                0.00541,                      1,                      1,                  1.165,             0.00027579,             0.00027579,             0.00027579
                     96,                0.00619,                      1,                      1,                  1.165,             0.00027192,             0.00027192,             0.00027192
                     97,                0.00223,                      1,                      1,                  1.165,             0.00026804,             0.00026804,             0.00026804
                     98,                0.00264,                      1,                      1,                  1.165,             0.00026416,             0.00026416,             0.00026416
                     99,                 0.0026,                      1,                      1,                  1.165,             0.00026027,             0.00026027,             0.00026027
                    100,                0.00264,                      1,                      1,                  1.165,             0.00025639,             0.00025639,             0.00025639
                    101,                0.00719,                      1,                      1,                  1.165,              0.0002525,              0.0002525,              0.0002525
                    102,                0.00463,                      1,                      1,                  1.166,             0.00024861,             0.00024861,             0.00024861
                    103,                0.00147,                      1,                      1,                  1.165,             0.00024473,             0.00024473,             0.00024473
                    104,                0.00835,                      1,                      1,                  1.165,             0.00024084,             0.00024084,             0.00024084
                    105,                0.00906,                      1,                      1,                  1.165,             0.00023696,             0.00023696,             0.00023696
                    106,                0.00612,                0.99524,                      1,                 1.1685,             0.00023308,             0.00023308,             0.00023308
                    107,                0.00849,                0.99524,                      1,                  1.167,             0.00022921,             0.00022921,             0.00022921
                    108,                0.00351,                      1,                      1,                  1.165,             0.00022534,             0.00022534,             0.00022534
                    109,                0.00249,                      1,                      1,                  1.165,             0.00022148,             0.00022148,             0.00022148
                    110,                0.00605,                      1,                      1,                  1.165,             0.00021763,             0.00021763,             0.00021763
                    111,                0.00361,                      1,                      1,                  1.165,             0.00021378,             0.00021378,             0.00021378
                    112,                0.00547,                      1,                      1,                  1.165,             0.00020995,             0.00020995,             0.00020995
                    113,                0.00277,                      1,                      1,                  1.165,             0.00020612,             0.00020612,             0.00020612
                    114,                0.00548,                      1,                      1,                  1.165,             0.00020231,             0.00020231,             0.00020231
                    115,                 0.0039,                      1,                      1,                  1.165,             0.00019851,             0.00019851,             0.00019851
                    116,                0.00255,                      1,                      1,                  1.165,             0.00019472,             0.00019472,             0.00019472
                    117,                0.00286,                      1,                      1,                  1.165,             0.00019095,             0.00019095,             0.00019095
                    118,                0.00158,                      1,                      1,                  1.165,             0.00018719,             0.00018719,             0.00018719
                    119,                0.00371,                      1,                      1,                  1.165,             0.00018345,             0.00018345,             0.00018345
                    120,                0.00173,                      1,                      1,                  1.165,             0.00017973,             0.00017973,             0.00017973
                    121,                0.00251,                      1,                      1,                  1.165,             0.00017602,             0.00017602,             0.00017602
                    122,                0.00092,                      1,                      1,                  1.165,             0.00017233,             0.00017233,             0.00017233
                    123,                0.00132,                      1,                      1,                  1.165,             0.00016866,             0.00016866,             0.00016866
                    124,                0.00126,                      1,                      1,                  1.165,             0.00016501,             0.00016501,             0.00016501
                    125,                0.00291,                      1,                      1,                  1.165,             0.00016139,             0.00016139,             0.00016139
                    126,                0.00318,                      1,                      1,                  1.165,             0.00015779,             0.00015779,             0.00015779
                    127,                0.00059,                      1,                      1,                  1.165,             0.00015421,             0.00015421,             0.00015421
                    128,                0.00247,                      1,                      1,                  1.165,             0.00015065,             0.00015065,             0.00015065
                    129,                0.00096,                      1,                      1,                  1.165,             0.00014712,             0.00014712,             0.00014712
                    130,                0.00496,                      1,                      1,                  1.165,             0.00014362,             0.00014362,             0.00014362
                    131,                0.00217,                      1,                      1,                  1.165,             0.00014014,             0.00014014,             0.00014014
                    132,                0.00078,                      1,                      1,                  1.165,             0.00013669,             0.00013669,             0.00013669
                    133,                0.00148,                      1,                      1,                  1.165,             0.00013327,             0.00013327,             0.00013327
                    134,                0.00073,                      1,                      1,                  1.165,             0.00012987,             0.00012987,             0.00012987
                    135,                0.00027,                      1,                      1,                  1.165,             0.00012651,             0.00012651,             0.00012651
                    136,                0.00167,                      1,                      1,                  1.165,             0.00012318,             0.00012318,             0.00012318
                    137,                0.00043,                      1,                      1,                  1.165,             0.00011988,             0.00011988,             0.00011988
                    138,                0.00068,                      1,                      1,                  1.165,             0.00011662,             0.00011662,             0.00011662
