                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.72888,                0.38148,                0.81528,                 0.9973,                0.99897,                  0.995,                0.83274,                0.61053,                 0.3675,                0.75953,             0.00047976,             0.00047976,             0.00047976
                     37,                0.73995,                0.38722,                0.80962,                0.99862,                0.99928,                  0.995,                0.83182,                0.64053,                0.37063,                0.75683,              0.0004786,              0.0004786,              0.0004786
                     38,                0.71933,                0.37859,                0.81047,                0.99974,                0.99759,                  0.995,                0.83316,                0.61723,                0.36243,                0.75722,             0.00047742,             0.00047742,             0.00047742
                     39,                0.71915,                0.37544,                0.80967,                0.99931,                0.99752,                  0.995,                0.84006,                0.59106,                0.35182,                 0.7552,              0.0004762,              0.0004762,              0.0004762
                     40,                0.72775,                0.37514,                 0.8082,                0.99828,                0.99911,                  0.995,                0.83693,                0.60526,                0.35383,                0.75599,             0.00047495,             0.00047495,             0.00047495
                     41,                0.70468,                0.36348,                0.80653,                0.99931,                0.99839,                  0.995,                0.84779,                0.58302,                0.34257,                0.75598,             0.00047367,             0.00047367,             0.00047367
                     42,                0.71487,                0.36226,                0.80503,                0.99897,                0.99879,                  0.995,                0.84904,                0.57783,                0.33511,                  0.755,             0.00047237,             0.00047237,             0.00047237
                     43,                0.70742,                 0.3594,                0.80452,                0.99884,                0.99897,                  0.995,                 0.8392,                0.60364,                0.33556,                0.75507,             0.00047103,             0.00047103,             0.00047103
                     44,                0.72953,                0.35987,                0.80651,                0.99924,                0.99862,                  0.995,                0.84768,                0.61001,                0.34133,                0.75551,             0.00046966,             0.00046966,             0.00046966
                     45,                0.71497,                0.35805,                0.80602,                0.99912,                0.99897,                  0.995,                 0.8518,                0.61034,                0.33387,                0.75558,             0.00046827,             0.00046827,             0.00046827
                     46,                0.72387,                0.35624,                0.80504,                0.99908,                0.99931,                  0.995,                0.85545,                0.57462,                0.33045,                0.75428,             0.00046684,             0.00046684,             0.00046684
                     47,                0.71486,                0.35082,                0.80321,                      1,                0.99886,                  0.995,                0.85508,                0.58971,                0.33186,                0.75242,             0.00046539,             0.00046539,             0.00046539
                     48,                0.70657,                0.34935,                 0.8044,                0.99966,                0.99883,                  0.995,                0.86002,                0.57236,                0.33066,                0.75292,              0.0004639,              0.0004639,              0.0004639
                     49,                0.71629,                0.35008,                0.80316,                0.99931,                0.99829,                  0.995,                0.85771,                0.57905,                0.32979,                0.75253,             0.00046239,             0.00046239,             0.00046239
                     50,                0.70373,                0.34225,                0.80095,                0.99969,                0.99862,                  0.995,                0.85575,                0.59068,                 0.3283,                0.75195,             0.00046085,             0.00046085,             0.00046085
                     51,                 0.7037,                0.34162,                0.79996,                0.99892,                0.99862,                  0.995,                0.86021,                0.58018,                 0.3216,                0.75163,             0.00045928,             0.00045928,             0.00045928
                     52,                0.69665,                0.34113,                0.79886,                0.99794,                0.99998,                  0.995,                 0.8669,                0.55514,                0.31624,                0.75117,             0.00045769,             0.00045769,             0.00045769
                     53,                0.69067,                0.33446,                0.80122,                0.99897,                 0.9989,                  0.995,                0.86451,                0.56386,                0.31664,                0.75119,             0.00045606,             0.00045606,             0.00045606
                     54,                0.71108,                0.33521,                0.79969,                0.99974,                0.99828,                  0.995,                0.86662,                0.56192,                0.31286,                 0.7511,             0.00045441,             0.00045441,             0.00045441
                     55,                0.70494,                0.33527,                0.79659,                0.99978,                0.99897,                  0.995,                 0.8697,                0.55112,                0.30925,                0.74963,             0.00045273,             0.00045273,             0.00045273
                     56,                0.68187,                0.32578,                0.79735,                      1,                0.99915,                  0.995,                0.86815,                0.56945,                0.30952,                0.74967,             0.00045103,             0.00045103,             0.00045103
                     57,                0.66624,                 0.3219,                0.79688,                      1,                0.99907,                  0.995,                0.86894,                0.57365,                0.30846,                0.74999,             0.00044929,             0.00044929,             0.00044929
                     58,                0.67301,                0.32551,                0.79556,                0.99987,                0.99931,                  0.995,                0.86821,                0.57203,                0.30575,                0.74964,             0.00044753,             0.00044753,             0.00044753
                     59,                0.67912,                0.32955,                0.79618,                0.99985,                0.99931,                  0.995,                0.86716,                0.57222,                0.30462,                0.74967,             0.00044575,             0.00044575,             0.00044575
                     60,                0.65437,                0.31785,                0.79642,                      1,                0.99925,                  0.995,                  0.866,                0.57903,                0.30502,                0.74959,             0.00044393,             0.00044393,             0.00044393
                     61,                0.66162,                0.32171,                 0.7956,                0.99931,                0.99904,                  0.995,                0.86926,                0.57491,                0.30242,                0.74917,              0.0004421,              0.0004421,              0.0004421
                     62,                0.67451,                0.31826,                0.79625,                0.99922,                0.99931,                  0.995,                0.87057,                0.57028,                0.30126,                0.74885,             0.00044023,             0.00044023,             0.00044023
                     63,                0.69187,                0.31992,                0.79442,                0.99923,                0.99931,                  0.995,                0.87265,                0.56615,                0.30105,                 0.7486,             0.00043834,             0.00043834,             0.00043834
                     64,                0.66723,                0.31599,                0.79429,                0.99915,                0.99931,                  0.995,                0.87544,                0.56032,                0.29935,                0.74812,             0.00043643,             0.00043643,             0.00043643
                     65,                0.64339,                 0.3097,                0.79389,                 0.9991,                0.99931,                  0.995,                0.87775,                0.55463,                0.29923,                0.74808,             0.00043449,             0.00043449,             0.00043449
                     66,                0.65469,                0.31116,                0.79436,                0.99931,                0.99957,                  0.995,                0.87783,                 0.5575,                0.29621,                0.74796,             0.00043252,             0.00043252,             0.00043252
                     67,                0.65716,                0.30945,                0.79305,                0.99897,                0.99984,                  0.995,                0.87739,                0.56231,                0.29693,                0.74795,             0.00043054,             0.00043054,             0.00043054
                     68,                0.67002,                0.30872,                0.79334,                0.99897,                 0.9999,                  0.995,                0.87774,                0.56311,                0.29659,                0.74799,             0.00042852,             0.00042852,             0.00042852
                     69,                0.63106,                0.30306,                 0.7905,                0.99897,                0.99986,                  0.995,                0.87746,                0.56291,                0.29461,                0.74748,             0.00042649,             0.00042649,             0.00042649
                     70,                0.64339,                0.30779,                0.78994,                 0.9989,                0.99966,                  0.995,                 0.8792,                0.55755,                0.29223,                0.74688,             0.00042443,             0.00042443,             0.00042443
                     71,                0.64242,                0.30341,                0.79182,                0.99877,                0.99966,                  0.995,                0.88041,                0.55556,                0.29026,                0.74645,             0.00042234,             0.00042234,             0.00042234
                     72,                0.62817,                0.29643,                0.79212,                0.99881,                0.99966,                  0.995,                0.88203,                0.55488,                0.28888,                 0.7459,             0.00042024,             0.00042024,             0.00042024
                     73,                0.62543,                0.29795,                0.79042,                0.99881,                0.99966,                  0.995,                0.88308,                0.55335,                0.28761,                0.74565,             0.00041811,             0.00041811,             0.00041811
                     74,                0.60706,                0.29411,                0.78749,                 0.9988,                0.99966,                  0.995,                0.88442,                0.54948,                0.28695,                0.74535,             0.00041596,             0.00041596,             0.00041596
                     75,                0.61834,                0.29601,                0.78754,                0.99882,                0.99966,                  0.995,                0.88547,                0.54723,                0.28666,                0.74503,             0.00041379,             0.00041379,             0.00041379
                     76,                0.62077,                0.29287,                0.78875,                0.99885,                0.99966,                  0.995,                0.88613,                0.54353,                0.28561,                0.74477,             0.00041159,             0.00041159,             0.00041159
                     77,                0.60864,                0.29323,                0.78762,                0.99875,                0.99966,                  0.995,                0.88722,                0.54267,                0.28499,                0.74463,             0.00040937,             0.00040937,             0.00040937
                     78,                0.60913,                0.29078,                0.78774,                0.99877,                0.99966,                  0.995,                0.88754,                0.54269,                0.28391,                0.74453,             0.00040714,             0.00040714,             0.00040714
                     79,                0.60865,                 0.2889,                0.78717,                0.99897,                0.99985,                  0.995,                0.88826,                 0.5428,                 0.2832,                0.74431,             0.00040488,             0.00040488,             0.00040488
                     80,                0.60704,                0.28522,                0.78816,                0.99897,                0.99985,                  0.995,                0.88944,                0.54042,                 0.2821,                0.74405,              0.0004026,              0.0004026,              0.0004026
                     81,                0.60209,                0.28521,                0.78789,                0.99897,                0.99984,                  0.995,                0.89009,                 0.5388,                0.28102,                0.74386,              0.0004003,              0.0004003,              0.0004003
                     82,                0.59927,                  0.285,                0.78662,                0.99897,                0.99983,                  0.995,                0.89063,                0.53653,                0.28065,                0.74361,             0.00039798,             0.00039798,             0.00039798
