                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.58246,                 1.6128,                0.40933,                0.88709,                0.98461,                0.97946,                0.98984,                0.93864,                   0.97,                0.96375,                 0.9772,                 0.6461,                 0.3639,                 1.2281,                0.32006,                0.82007,             0.00048422,             0.00048422,             0.00048422
                     26,                0.57876,                 1.6018,                 0.4048,                0.88435,                0.99023,                0.97835,                0.99064,                0.94012,                0.97306,                0.96133,                0.97566,                0.64908,                0.36142,                 1.2273,                 0.3172,                0.81848,             0.00048289,             0.00048289,             0.00048289
                     27,                0.57066,                 1.5958,                0.39537,                0.87899,                0.98915,                0.97909,                0.99081,                0.94054,                0.97593,                0.96555,                0.97891,                 0.6518,                0.35918,                 1.2257,                0.31578,                0.81764,             0.00048151,             0.00048151,             0.00048151
                     28,                0.57815,                 1.5867,                0.39968,                0.88168,                0.98792,                0.98212,                0.99074,                0.94173,                0.97542,                0.96708,                0.97844,                  0.652,                0.35502,                 1.2254,                0.31011,                0.81677,             0.00048008,             0.00048008,             0.00048008
                     29,                0.56872,                 1.5708,                0.39202,                0.88018,                0.98773,                0.98093,                0.99088,                 0.9425,                0.97671,                0.96677,                0.97939,                0.65202,                 0.3526,                  1.222,                0.30802,                0.81632,              0.0004786,              0.0004786,              0.0004786
                     30,                 0.5663,                 1.5566,                 0.3865,                0.87547,                0.98712,                0.98377,                0.99107,                0.94301,                0.97618,                0.96784,                0.97959,                0.65161,                0.35041,                 1.2208,                0.30674,                0.81582,             0.00047707,             0.00047707,             0.00047707
                     31,                0.56084,                 1.5578,                0.37896,                0.87599,                0.98861,                0.98179,                0.99109,                0.94387,                0.97612,                0.96688,                0.97877,                0.65154,                0.34756,                 1.2201,                0.30551,                0.81525,             0.00047549,             0.00047549,             0.00047549
                     32,                0.55631,                 1.5375,                0.37771,                0.87406,                0.98817,                0.98234,                0.99065,                0.94403,                0.97645,                0.96787,                 0.9788,                0.65306,                0.34643,                 1.2154,                0.30424,                0.81479,             0.00047386,             0.00047386,             0.00047386
                     33,                0.55227,                 1.5262,                0.37143,                0.87074,                0.99022,                0.98191,                 0.9908,                0.94477,                0.97725,                0.96807,                0.97922,                0.65302,                0.34457,                  1.213,                0.30402,                0.81442,             0.00047218,             0.00047218,             0.00047218
                     34,                0.55073,                 1.5144,                0.36912,                0.87094,                0.99118,                 0.9821,                0.99082,                0.94529,                0.97686,                 0.9676,                0.97872,                 0.6532,                0.34239,                 1.2101,                0.30264,                0.81392,             0.00047045,             0.00047045,             0.00047045
                     35,                0.55004,                 1.5195,                 0.3667,                 0.8693,                0.99093,                0.98221,                0.99086,                0.94623,                0.97785,                0.96892,                0.97973,                0.65344,                0.34074,                 1.2091,                0.29989,                 0.8136,             0.00046867,             0.00046867,             0.00046867
                     36,                0.54321,                 1.5076,                0.35991,                0.86782,                0.99002,                0.98277,                0.99096,                0.94695,                0.97709,                0.96821,                 0.9791,                0.65396,                0.33915,                 1.2072,                0.29832,                0.81315,             0.00046684,             0.00046684,             0.00046684
                     37,                0.53884,                 1.5029,                0.35724,                0.86559,                0.98937,                0.98259,                0.99096,                  0.948,                0.97668,                 0.9687,                0.97943,                0.65516,                0.33731,                 1.2056,                0.29782,                0.81269,             0.00046497,             0.00046497,             0.00046497
                     38,                0.53302,                   1.49,                0.35316,                0.86517,                0.98936,                0.98333,                0.99097,                0.94816,                0.97673,                0.96927,                0.97971,                0.65523,                0.33635,                 1.2044,                0.29569,                0.81241,             0.00046304,             0.00046304,             0.00046304
                     39,                0.53435,                 1.4802,                0.35211,                0.86461,                0.99039,                0.98313,                0.99109,                 0.9486,                0.97866,                0.96954,                0.97994,                0.65578,                0.33498,                 1.2037,                0.29409,                0.81218,             0.00046107,             0.00046107,             0.00046107
                     40,                 0.5236,                 1.4723,                0.34397,                0.86087,                0.98944,                0.98416,                0.99113,                0.94893,                0.97957,                0.96894,                0.97985,                0.65539,                0.33358,                 1.2023,                0.29427,                0.81186,             0.00045906,             0.00045906,             0.00045906
                     41,                0.52395,                 1.4701,                0.34385,                0.86163,                 0.9896,                0.98494,                0.99117,                 0.9498,                0.97966,                0.96828,                0.97883,                0.65538,                0.33201,                 1.2019,                0.29287,                0.81152,             0.00045699,             0.00045699,             0.00045699
                     42,                0.51954,                 1.4538,                 0.3411,                0.86152,                0.99057,                0.98491,                0.99118,                0.95044,                0.97902,                0.96937,                0.97887,                0.65665,                0.33057,                  1.201,                0.29107,                 0.8112,             0.00045489,             0.00045489,             0.00045489
                     43,                 0.5197,                  1.465,                0.34017,                0.86136,                0.99086,                 0.9848,                0.99141,                0.95062,                0.97835,                0.96908,                0.97797,                0.65684,                0.32916,                 1.1988,                0.29035,                0.81085,             0.00045273,             0.00045273,             0.00045273
                     44,                0.51773,                 1.4537,                0.33727,                0.85971,                  0.991,                0.98447,                0.99143,                0.95097,                0.97777,                0.96722,                0.97608,                0.65703,                0.32812,                  1.197,                0.28885,                0.81055,             0.00045053,             0.00045053,             0.00045053
                     45,                0.51151,                 1.4446,                0.33431,                0.85984,                0.99257,                0.98342,                0.99137,                 0.9514,                0.97606,                0.96674,                0.97471,                0.65646,                0.32676,                 1.1951,                0.28736,                0.81016,             0.00044829,             0.00044829,             0.00044829
                     46,                0.51533,                 1.4477,                0.33609,                0.86005,                0.99148,                0.98372,                0.99139,                0.95208,                0.97595,                0.96719,                0.97528,                0.65745,                0.32582,                 1.1944,                0.28587,                0.80986,               0.000446,               0.000446,               0.000446
                     47,                0.51333,                 1.4403,                 0.3334,                0.85765,                0.99243,                0.98352,                0.99141,                0.95201,                0.97574,                0.96601,                0.97451,                0.65752,                0.32472,                 1.1924,                  0.284,                0.80953,             0.00044367,             0.00044367,             0.00044367
                     48,                0.50691,                 1.4346,                0.32806,                0.85651,                0.99267,                0.98356,                0.99143,                0.95221,                0.97536,                0.96459,                 0.9735,                0.65775,                0.32302,                 1.1912,                 0.2814,                0.80916,              0.0004413,              0.0004413,              0.0004413
                     49,                0.50862,                 1.4371,                 0.3307,                0.85522,                0.99325,                0.98381,                0.99146,                0.95252,                0.97541,                  0.966,                0.97392,                0.65789,                0.32193,                 1.1888,                0.27974,                0.80895,             0.00043889,             0.00043889,             0.00043889
                     50,                0.50581,                 1.4277,                0.32834,                0.85569,                0.99399,                0.98354,                0.99178,                0.95313,                0.97459,                0.96409,                0.97195,                0.65704,                0.32088,                 1.1884,                0.27836,                0.80867,             0.00043643,             0.00043643,             0.00043643
                     51,                0.50184,                 1.4177,                0.32446,                0.85319,                0.99472,                0.98339,                0.99177,                0.95362,                0.97526,                0.96403,                0.97217,                 0.6573,                0.32009,                  1.188,                0.27669,                0.80833,             0.00043393,             0.00043393,             0.00043393
                     52,                0.49685,                 1.4204,                0.32258,                0.85221,                0.99476,                0.98386,                0.99178,                0.95413,                0.97516,                0.96449,                0.97212,                0.65732,                0.31902,                  1.188,                0.27431,                0.80791,             0.00043139,             0.00043139,             0.00043139
                     53,                0.49611,                 1.4065,                0.32114,                 0.8541,                0.99466,                0.98394,                 0.9918,                0.95497,                0.97538,                0.96498,                0.97268,                0.65773,                0.31768,                 1.1873,                0.27127,                0.80765,             0.00042881,             0.00042881,             0.00042881
                     54,                0.49664,                 1.4042,                 0.3199,                0.84993,                0.99448,                0.98403,                 0.9918,                0.95512,                0.97374,                 0.9667,                0.97294,                0.65843,                0.31596,                 1.1869,                 0.2681,                0.80729,             0.00042619,             0.00042619,             0.00042619
                     55,                0.49188,                 1.3992,                0.31782,                0.85015,                0.99413,                0.98414,                0.99183,                 0.9552,                0.97419,                0.96594,                0.97299,                0.65902,                0.31494,                 1.1845,                0.26538,                0.80697,             0.00042354,             0.00042354,             0.00042354
                     56,                0.48912,                 1.4016,                0.31703,                0.85024,                0.99346,                0.98491,                0.99186,                0.95621,                0.97378,                0.96649,                0.97325,                 0.6602,                0.31363,                 1.1831,                0.26326,                0.80661,             0.00042084,             0.00042084,             0.00042084
                     57,                 0.4901,                 1.3992,                0.31604,                0.84819,                0.99307,                0.98542,                0.99188,                 0.9565,                0.97245,                0.96633,                 0.9726,                0.66029,                0.31259,                 1.1823,                0.26067,                0.80627,             0.00041811,             0.00041811,             0.00041811
                     58,                0.49184,                 1.3892,                0.31653,                0.84973,                0.99321,                0.98503,                0.99189,                0.95692,                0.97219,                0.96447,                0.97116,                0.66021,                0.31032,                 1.1815,                0.25837,                0.80593,             0.00041534,             0.00041534,             0.00041534
                     59,                0.48565,                 1.3934,                0.31472,                0.84888,                0.99522,                0.98405,                0.99191,                0.95683,                0.97327,                0.96378,                 0.9707,                0.66051,                  0.309,                 1.1799,                0.25643,                0.80555,             0.00041253,             0.00041253,             0.00041253
                     60,                0.48614,                 1.3974,                0.31265,                0.84955,                0.99535,                0.98383,                0.99198,                0.95722,                0.97349,                0.96398,                0.97105,                0.66069,                0.30819,                 1.1793,                0.25262,                0.80523,             0.00040969,             0.00040969,             0.00040969
                     61,                0.48281,                 1.3828,                0.31099,                0.84704,                0.99511,                0.98415,                0.99203,                0.95732,                0.97338,                0.96315,                0.97075,                0.66125,                 0.3073,                 1.1803,                0.25011,                0.80506,             0.00040681,             0.00040681,             0.00040681
                     62,                0.47677,                 1.3771,                0.30623,                0.84492,                0.99466,                0.98443,                0.99204,                0.95757,                0.97225,                 0.9628,                0.97004,                0.66117,                0.30644,                 1.1792,                 0.2475,                0.80491,              0.0004039,              0.0004039,              0.0004039
                     63,                0.47453,                 1.3707,                0.30602,                0.84512,                0.99497,                0.98503,                0.99206,                0.95754,                0.97317,                0.96373,                0.97069,                 0.6611,                0.30587,                 1.1772,                0.24451,                 0.8046,             0.00040096,             0.00040096,             0.00040096
                     64,                0.47881,                 1.3781,                0.30844,                0.84553,                0.99476,                 0.9852,                0.99207,                0.95807,                0.97286,                0.96385,                0.97087,                0.66167,                0.30438,                 1.1757,                0.24042,                 0.8042,             0.00039798,             0.00039798,             0.00039798
                     65,                0.47033,                 1.3676,                0.30286,                0.84329,                0.99479,                0.98511,                 0.9921,                0.95849,                0.97195,                0.96298,                0.97003,                0.66161,                0.30343,                 1.1747,                0.23688,                0.80394,             0.00039497,             0.00039497,             0.00039497
                     66,                0.46968,                 1.3629,                 0.3017,                0.84502,                0.99438,                0.98526,                0.99233,                0.95859,                0.97158,                0.96315,                0.97014,                0.66179,                0.30241,                 1.1727,                0.23231,                0.80368,             0.00039192,             0.00039192,             0.00039192
                     67,                0.46508,                 1.3625,                0.29846,                0.84331,                0.99409,                 0.9859,                0.99246,                0.95896,                0.97151,                0.96349,                 0.9705,                0.66183,                0.30124,                 1.1712,                0.22972,                0.80331,             0.00038885,             0.00038885,             0.00038885
                     68,                0.46603,                  1.355,                0.29941,                0.84366,                0.99391,                0.98577,                0.99247,                0.95913,                0.97318,                0.96504,                0.97239,                0.66205,                0.30065,                   1.17,                0.22487,                0.80302,             0.00038574,             0.00038574,             0.00038574
                     69,                0.46795,                 1.3648,                0.30047,                0.84144,                0.99383,                0.98572,                0.99224,                 0.9596,                0.97164,                0.96375,                0.97099,                0.66182,                0.29935,                 1.1703,                0.22258,                0.80261,             0.00038261,             0.00038261,             0.00038261
                     70,                0.46781,                 1.3629,                0.30064,                0.84398,                0.99348,                0.98643,                0.99224,                0.95935,                0.97264,                0.96469,                0.97197,                0.66253,                0.29839,                 1.1696,                0.22044,                0.80233,             0.00037944,             0.00037944,             0.00037944
                     71,                0.46003,                 1.3442,                0.29498,                0.84295,                0.99241,                0.98684,                0.99225,                0.96004,                0.97051,                 0.9637,                0.97032,                0.66274,                0.29713,                 1.1677,                 0.2202,                0.80204,             0.00037625,             0.00037625,             0.00037625
                     72,                0.46447,                 1.3528,                0.29829,                0.84187,                0.99281,                 0.9867,                0.99225,                0.96015,                0.97053,                0.96427,                0.97049,                0.66305,                0.29636,                  1.166,                0.22095,                0.80183,             0.00037303,             0.00037303,             0.00037303
                     73,                0.46475,                 1.3504,                0.29842,                0.83972,                0.99274,                0.98691,                0.99239,                0.96048,                0.97089,                0.96468,                0.97072,                0.66286,                0.29529,                 1.1661,                0.21892,                0.80144,             0.00036978,             0.00036978,             0.00036978
                     74,                0.45919,                 1.3392,                0.29369,                0.84052,                0.99229,                0.98734,                0.99237,                0.96109,                0.97009,                0.96442,                0.97034,                0.66338,                0.29325,                 1.1655,                0.21443,                0.80111,             0.00036651,             0.00036651,             0.00036651
                     75,                0.45885,                 1.3431,                0.29503,                0.83922,                0.99277,                0.98738,                 0.9924,                0.96116,                0.97062,                0.96501,                0.97019,                 0.6632,                0.29245,                 1.1663,                0.21058,                0.80089,             0.00036321,             0.00036321,             0.00036321
                     76,                0.46175,                 1.3419,                0.29643,                0.83993,                0.99285,                0.98755,                0.99239,                0.96152,                0.97091,                0.96498,                0.96995,                0.66262,                0.29135,                 1.1672,                0.20832,                0.80058,             0.00035989,             0.00035989,             0.00035989
                     77,                0.45322,                 1.3395,                0.29084,                0.83939,                0.99315,                0.98788,                0.99239,                0.96163,                0.97181,                0.96621,                0.97167,                0.66373,                0.29125,                 1.1661,                  0.207,                0.80035,             0.00035654,             0.00035654,             0.00035654
                     78,                 0.4522,                 1.3363,                0.29101,                0.83932,                0.99309,                0.98811,                0.99239,                0.96221,                0.97215,                0.96712,                0.97232,                0.66329,                0.29107,                 1.1654,                0.20616,                0.80021,             0.00035317,             0.00035317,             0.00035317
                     79,                 0.4573,                 1.3333,                0.29302,                0.83888,                0.99341,                0.98753,                 0.9924,                0.96204,                0.97235,                0.96647,                0.97212,                0.66385,                0.29053,                 1.1664,                0.20594,                0.79994,             0.00034977,             0.00034977,             0.00034977
                     80,                0.45198,                 1.3321,                0.28988,                0.83658,                0.99362,                0.98801,                0.99265,                0.96201,                0.97204,                0.96619,                0.97185,                0.66361,                0.29019,                 1.1679,                0.20504,                0.79975,             0.00034636,             0.00034636,             0.00034636
                     81,                0.45472,                 1.3249,                0.29081,                0.83527,                0.99404,                0.98786,                0.99267,                0.96167,                0.97179,                 0.9656,                0.97132,                0.66362,                0.28927,                 1.1682,                0.20411,                0.79957,             0.00034292,             0.00034292,             0.00034292
                     82,                0.44917,                 1.3182,                0.28826,                0.83588,                0.99349,                0.98774,                 0.9927,                0.96175,                0.97113,                0.96574,                 0.9713,                0.66335,                0.28885,                 1.1686,                0.20338,                0.79943,             0.00033947,             0.00033947,             0.00033947
