                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69268,                0.44201,                 1.1095,                0.93885,                0.90134,                0.96145,                0.85226,                0.50614,                0.32258,                0.98489,             0.00046353,             0.00046353,             0.00046353
                     37,                0.68586,                0.43625,                 1.1077,                0.92691,                0.91337,                 0.9452,                 0.8441,                0.50679,                0.31915,                0.98295,             0.00046147,             0.00046147,             0.00046147
                     38,                0.68069,                0.43071,                 1.1051,                0.96069,                0.90636,                0.94879,                0.85219,                0.49944,                0.31465,                  0.976,             0.00045936,             0.00045936,             0.00045936
                     39,                0.67807,                0.42996,                 1.1035,                0.95947,                 0.8949,                 0.9483,                0.85443,                0.49304,                0.31149,                0.97214,              0.0004572,              0.0004572,              0.0004572
                     40,                0.66995,                0.42235,                 1.0988,                0.95877,                0.87671,                0.94863,                0.85322,                0.49287,                0.30846,                 0.9681,             0.00045499,             0.00045499,             0.00045499
                     41,                0.66677,                0.41962,                 1.0969,                0.94198,                0.88531,                0.94884,                0.85188,                0.48952,                0.30663,                0.96595,             0.00045273,             0.00045273,             0.00045273
                     42,                0.67014,                0.41834,                 1.0904,                0.94224,                0.88685,                0.95508,                0.85802,                0.48397,                0.30432,                0.96168,             0.00045042,             0.00045042,             0.00045042
                     43,                0.66247,                0.41227,                 1.0878,                0.94847,                0.87935,                0.95532,                 0.8558,                0.48293,                0.30179,                0.95967,             0.00044806,             0.00044806,             0.00044806
                     44,                0.65511,                0.40936,                 1.0845,                0.91068,                 0.9188,                0.95525,                0.85276,                0.48309,                0.29886,                0.95787,             0.00044566,             0.00044566,             0.00044566
                     45,                0.65635,                 0.4062,                   1.08,                0.90994,                0.92023,                0.95554,                0.85245,                0.48348,                0.29643,                0.95555,              0.0004432,              0.0004432,              0.0004432
                     46,                0.66185,                0.40682,                 1.0861,                0.90815,                0.92014,                0.95726,                 0.8556,                0.48031,                0.29407,                0.95463,              0.0004407,              0.0004407,              0.0004407
                     47,                0.64832,                0.40021,                 1.0777,                0.95371,                0.88022,                0.95786,                0.85649,                0.47763,                0.29091,                0.95395,             0.00043815,             0.00043815,             0.00043815
                     48,                0.64981,                0.39939,                 1.0786,                0.95818,                0.88395,                 0.9579,                0.85994,                0.47606,                   0.29,                0.95299,             0.00043556,             0.00043556,             0.00043556
                     49,                0.64478,                0.39535,                 1.0715,                0.95388,                0.89057,                 0.9578,                0.86097,                0.47216,                0.28879,                0.95136,             0.00043292,             0.00043292,             0.00043292
                     50,                0.64244,                0.39365,                 1.0733,                0.97101,                0.89747,                 0.9576,                0.86252,                  0.469,                0.28738,                0.95014,             0.00043024,             0.00043024,             0.00043024
                     51,                  0.644,                 0.3921,                 1.0697,                0.97571,                0.89773,                0.95763,                0.86223,                0.46651,                0.28495,                0.94858,             0.00042751,             0.00042751,             0.00042751
                     52,                0.63384,                0.38736,                 1.0651,                0.97441,                0.90127,                0.95849,                0.86416,                0.46377,                0.28363,                 0.9474,             0.00042474,             0.00042474,             0.00042474
                     53,                0.63186,                0.38513,                 1.0655,                0.97401,                0.90273,                0.95964,                0.86432,                0.46127,                0.28217,                0.94649,             0.00042193,             0.00042193,             0.00042193
                     54,                0.62862,                0.38156,                 1.0608,                 0.9755,                0.90473,                0.95963,                 0.8678,                0.46141,                 0.2814,                0.94588,             0.00041907,             0.00041907,             0.00041907
                     55,                0.62422,                 0.3779,                 1.0599,                 0.9755,                0.90608,                0.96178,                0.86979,                 0.4601,                0.27998,                0.94459,             0.00041617,             0.00041617,             0.00041617
                     56,                0.61988,                0.37795,                 1.0525,                0.97703,                0.91105,                0.96153,                0.87153,                0.45867,                0.27884,                 0.9433,             0.00041324,             0.00041324,             0.00041324
                     57,                0.61938,                0.37594,                 1.0557,                0.97682,                0.91381,                0.96486,                0.87384,                0.45863,                0.27846,                0.94234,             0.00041026,             0.00041026,             0.00041026
                     58,                0.61622,                0.37139,                 1.0531,                0.97616,                0.91664,                0.96607,                  0.874,                0.45716,                0.27791,                0.94098,             0.00040725,             0.00040725,             0.00040725
                     59,                0.61779,                0.37128,                   1.05,                 0.9767,                0.91532,                0.96467,                0.87306,                0.45687,                 0.2767,                0.94007,             0.00040419,             0.00040419,             0.00040419
                     60,                0.61599,                0.37014,                   1.05,                0.97658,                0.91533,                0.96493,                0.87343,                0.45739,                0.27594,                0.93928,              0.0004011,              0.0004011,              0.0004011
                     61,                0.61017,                0.36356,                 1.0488,                0.97658,                0.91395,                0.96525,                0.87361,                0.45595,                0.27569,                0.93833,             0.00039798,             0.00039798,             0.00039798
                     62,                0.60733,                0.36428,                 1.0417,                0.97696,                0.91466,                0.96645,                0.87373,                0.45622,                0.27519,                0.93787,             0.00039481,             0.00039481,             0.00039481
                     63,                0.60515,                0.36161,                 1.0422,                0.97693,                0.91766,                0.96779,                0.87453,                0.45546,                 0.2747,                0.93669,             0.00039162,             0.00039162,             0.00039162
                     64,                0.61095,                0.36353,                 1.0402,                0.97648,                0.91784,                 0.9678,                0.87492,                0.45496,                0.27444,                 0.9359,             0.00038838,             0.00038838,             0.00038838
