                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.19508,                0.03998,                0.03404,                 0.1735,                 1.1992,                0.99978,                      1,                  0.995,                0.95083,                0.99978,                      1,                  0.995,                0.99449,                0.25578,                0.04221,                0.00039,                0.18371,                 1.1339,             7.9062e-05,             7.9062e-05,             7.9062e-05
                     86,                0.19998,                0.04042,                0.03096,                0.17543,                  1.202,                0.99977,                      1,                  0.995,                0.95077,                0.99977,                      1,                  0.995,                 0.9945,                0.25873,                0.04229,                0.00038,                0.18452,                  1.134,             7.8602e-05,             7.8602e-05,             7.8602e-05
                     87,                0.20666,                0.04089,                0.03747,                0.17617,                  1.203,                0.99979,                      1,                  0.995,                0.94979,                0.99979,                      1,                  0.995,                0.99446,                0.26319,                0.04234,                0.00037,                0.18456,                 1.1346,             7.8138e-05,             7.8138e-05,             7.8138e-05
                     88,                0.20106,                0.03582,                0.03674,                0.17243,                 1.2007,                 0.9998,                      1,                  0.995,                0.95068,                 0.9998,                      1,                  0.995,                0.99445,                0.26545,                0.04235,                0.00037,                0.18414,                 1.1343,             7.7671e-05,             7.7671e-05,             7.7671e-05
                     89,                0.19411,                0.03679,                 0.0375,                0.16976,                 1.1994,                 0.9998,                      1,                  0.995,                0.95018,                 0.9998,                      1,                  0.995,                0.99444,                0.26653,                0.04237,                0.00036,                0.18352,                 1.1337,             7.7201e-05,             7.7201e-05,             7.7201e-05
                     90,                0.20297,                0.03938,                0.03483,                0.17339,                  1.197,                0.99979,                      1,                  0.995,                0.95155,                0.99979,                      1,                  0.995,                0.99444,                0.26974,                 0.0424,                0.00035,                0.18314,                 1.1334,             7.6727e-05,             7.6727e-05,             7.6727e-05
                     91,                0.20837,                0.03984,                0.03597,                0.17274,                 1.1985,                0.99978,                      1,                  0.995,                0.95119,                0.99978,                      1,                  0.995,                0.99437,                0.27477,                0.04238,                0.00035,                0.18381,                  1.134,              7.625e-05,              7.625e-05,              7.625e-05
                     92,                0.21938,                0.04109,                0.03461,                0.17555,                 1.1966,                0.99976,                      1,                  0.995,                0.95003,                0.99976,                      1,                  0.995,                0.99437,                0.27624,                0.04242,                0.00035,                0.18321,                 1.1335,              7.577e-05,              7.577e-05,              7.577e-05
                     93,                0.20569,                0.03994,                 0.0348,                0.17015,                 1.1954,                0.99976,                      1,                  0.995,                0.94978,                0.99976,                      1,                  0.995,                0.99439,                0.27882,                0.04242,                0.00034,                0.18354,                 1.1334,             7.5286e-05,             7.5286e-05,             7.5286e-05
                     94,                0.21626,                0.03998,                0.03643,                0.17324,                 1.2025,                0.99975,                      1,                  0.995,                0.94972,                0.99975,                      1,                  0.995,                0.99438,                0.28305,                 0.0424,                0.00034,                  0.184,                 1.1339,               7.48e-05,               7.48e-05,               7.48e-05
                     95,                0.21232,                0.03887,                0.03206,                0.17116,                 1.1926,                0.99975,                      1,                  0.995,                0.94972,                0.99975,                      1,                  0.995,                0.99435,                0.28405,                0.04239,                0.00034,                0.18383,                 1.1334,              7.431e-05,              7.431e-05,              7.431e-05
                     96,                0.21004,                 0.0404,                0.03046,                0.16968,                 1.1932,                0.99974,                      1,                  0.995,                0.94991,                0.99974,                      1,                  0.995,                0.99435,                0.28637,                0.04238,                0.00034,                0.18377,                  1.133,             7.3818e-05,             7.3818e-05,             7.3818e-05
                     97,                0.21594,                0.04125,                0.03153,                 0.1708,                 1.1973,                0.99972,                      1,                  0.995,                0.95036,                0.99972,                      1,                  0.995,                0.99436,                0.28807,                0.04238,                0.00034,                0.18405,                 1.1327,             7.3323e-05,             7.3323e-05,             7.3323e-05
                     98,                0.23103,                0.03949,                0.03335,                0.17351,                 1.1994,                0.99971,                      1,                  0.995,                0.95161,                0.99971,                      1,                  0.995,                 0.9944,                0.29076,                0.04243,                0.00033,                0.18371,                 1.1328,             7.2824e-05,             7.2824e-05,             7.2824e-05
                     99,                0.21527,                0.03925,                0.03235,                0.16952,                 1.1926,                0.99971,                      1,                  0.995,                0.95111,                0.99971,                      1,                  0.995,                0.99442,                 0.2947,                0.04243,                0.00033,                0.18315,                 1.1331,             7.2324e-05,             7.2324e-05,             7.2324e-05
                    100,                0.21786,                0.03991,                0.02858,                0.16966,                 1.1927,                0.99971,                      1,                  0.995,                0.94989,                0.99971,                      1,                  0.995,                0.99442,                0.29906,                0.04244,                0.00033,                0.18341,                 1.1336,              7.182e-05,              7.182e-05,              7.182e-05
                    101,                0.21803,                0.03863,                0.03682,                0.16695,                 1.1961,                0.99972,                      1,                  0.995,                 0.9493,                0.99972,                      1,                  0.995,                0.99443,                0.30158,                 0.0424,                0.00033,                0.18331,                 1.1334,             7.1314e-05,             7.1314e-05,             7.1314e-05
                    102,                0.23207,                0.03775,                0.03097,                0.17118,                 1.1965,                0.99971,                      1,                  0.995,                 0.9494,                0.99971,                      1,                  0.995,                0.99442,                 0.3046,                 0.0424,                0.00032,                0.18349,                 1.1334,             7.0805e-05,             7.0805e-05,             7.0805e-05
                    103,                0.22867,                0.03939,                0.03599,                0.16991,                 1.1938,                0.99972,                      1,                  0.995,                0.94947,                0.99972,                      1,                  0.995,                0.99441,                0.30792,                0.04243,                0.00031,                 0.1837,                 1.1336,             7.0294e-05,             7.0294e-05,             7.0294e-05
                    104,                0.22705,                0.04068,                0.03143,                 0.1709,                 1.1905,                0.99971,                      1,                  0.995,                0.94918,                0.99971,                      1,                  0.995,                0.99444,                0.31039,                0.04258,                0.00031,                0.18308,                 1.1334,              6.978e-05,              6.978e-05,              6.978e-05
                    105,                0.22384,                0.03779,                0.02982,                0.16727,                 1.1926,                0.99972,                      1,                  0.995,                0.94943,                0.99972,                      1,                  0.995,                0.99436,                0.31358,                 0.0426,                0.00031,                0.18313,                 1.1333,             6.9264e-05,             6.9264e-05,             6.9264e-05
                    106,                0.23023,                0.03827,                0.03257,                0.16814,                 1.1905,                0.99971,                      1,                  0.995,                 0.9489,                0.99971,                      1,                  0.995,                0.99436,                 0.3171,                0.04256,                 0.0003,                0.18324,                 1.1334,             6.8746e-05,             6.8746e-05,             6.8746e-05
                    107,                0.23694,                0.03863,                0.03176,                0.16892,                 1.1943,                0.99972,                      1,                  0.995,                0.94904,                0.99972,                      1,                  0.995,                0.99436,                0.31879,                0.04252,                 0.0003,                0.18362,                 1.1328,             6.8226e-05,             6.8226e-05,             6.8226e-05
                    108,                0.23186,                0.03613,                0.03318,                0.16722,                 1.1877,                0.99973,                      1,                  0.995,                0.94869,                0.99973,                      1,                  0.995,                0.99436,                0.32154,                0.04249,                 0.0003,                0.18362,                 1.1327,             6.7703e-05,             6.7703e-05,             6.7703e-05
                    109,                0.23512,                0.03779,                0.03058,                0.16719,                 1.1864,                0.99973,                      1,                  0.995,                0.94949,                0.99973,                      1,                  0.995,                0.99435,                0.32394,                0.04246,                 0.0003,                0.18358,                 1.1324,             6.7178e-05,             6.7178e-05,             6.7178e-05
                    110,                0.24109,                0.03851,                0.03661,                0.16913,                 1.1945,                0.99973,                      1,                  0.995,                0.94858,                0.99973,                      1,                  0.995,                0.99435,                 0.3272,                0.04247,                 0.0003,                0.18342,                 1.1325,             6.6652e-05,             6.6652e-05,             6.6652e-05
