                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.09488,                0.04341,                0.03758,                0.18996,                 1.2357,                0.99855,                      1,                  0.995,                0.91048,                0.99855,                      1,                  0.995,                0.99443,                0.16749,                0.05155,                 0.0006,                0.22555,                 1.1928,             9.8589e-05,             9.8589e-05,             9.8589e-05
                     23,                0.10228,                0.04581,                0.04421,                0.19384,                 1.2451,                0.99855,                      1,                  0.995,                0.93728,                0.99855,                      1,                  0.995,                0.99434,                0.13257,                0.04857,                0.00022,                 0.2077,                 1.1689,             9.8452e-05,             9.8452e-05,             9.8452e-05
                     24,                0.09919,                0.04313,                0.04103,                0.19075,                 1.2455,                0.99986,                      1,                  0.995,                 0.9553,                0.99986,                      1,                  0.995,                0.99442,                0.10055,                0.04719,                0.00061,                0.19035,                 1.1364,             9.8309e-05,             9.8309e-05,             9.8309e-05
                     25,                0.10231,                0.04668,                0.03632,                0.19012,                 1.2366,                      1,                      1,                  0.995,                0.95684,                      1,                      1,                  0.995,                0.99406,                0.09795,                0.04988,                0.00043,                0.18896,                 1.1395,              9.816e-05,              9.816e-05,              9.816e-05
                     26,                0.10023,                0.04619,                0.04137,                0.19033,                 1.2362,                0.99961,                      1,                  0.995,                 0.8985,                0.99961,                      1,                  0.995,                0.99398,                0.19938,                0.04991,                0.00037,                0.22991,                 1.2168,             9.8005e-05,             9.8005e-05,             9.8005e-05
                     27,                0.10062,                0.04338,                0.04007,                0.18654,                 1.2353,                0.99983,                      1,                  0.995,                0.95622,                0.99983,                      1,                  0.995,                0.99409,                0.10302,                0.04995,                0.00095,                0.19158,                 1.1366,             9.7843e-05,             9.7843e-05,             9.7843e-05
                     28,                0.10442,                0.04615,                0.03602,                0.18967,                 1.2392,                0.99956,                      1,                  0.995,                0.92128,                0.99956,                      1,                  0.995,                0.99402,                0.18333,                0.04787,                0.00087,                0.21955,                 1.1957,             9.7675e-05,             9.7675e-05,             9.7675e-05
                     29,                0.10599,                0.04501,                0.04239,                0.18953,                 1.2315,                0.99963,                      1,                  0.995,                0.95069,                0.99963,                      1,                  0.995,                0.99448,                0.11887,                0.04823,                0.00064,                0.19713,                 1.1515,             9.7501e-05,             9.7501e-05,             9.7501e-05
                     30,                0.10798,                0.04591,                0.03747,                0.19002,                 1.2379,                      1,                      1,                  0.995,                0.90487,                      1,                      1,                  0.995,                0.99448,                0.21571,                0.04833,                0.00177,                0.22878,                  1.216,             9.7321e-05,             9.7321e-05,             9.7321e-05
                     31,                0.11357,                0.04579,                 0.0414,                 0.1924,                 1.2318,                0.99981,                      1,                  0.995,                 0.9445,                0.99981,                      1,                  0.995,                0.99455,                0.13585,                0.04746,                0.00103,                0.20182,                 1.1487,             9.7135e-05,             9.7135e-05,             9.7135e-05
                     32,                0.10654,                0.04283,                0.04017,                0.18661,                  1.232,                      1,                      1,                  0.995,                0.94333,                      1,                      1,                  0.995,                0.99438,                 0.1376,                0.04786,                0.00065,                0.20167,                 1.1578,             9.6943e-05,             9.6943e-05,             9.6943e-05
