                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68847,                 1.5454,                0.48191,                   1.07,                0.96459,                0.92595,                0.96387,                 0.8242,                0.95358,                0.91478,                0.95886,                0.73605,                0.53185,                 1.1456,                0.36723,                0.94953,             0.00048402,             0.00048402,             0.00048402
                     25,                0.67733,                 1.5289,                0.47103,                 1.0585,                0.89306,                0.97322,                0.95866,                0.83131,                0.88507,                0.96509,                 0.9532,                 0.7402,                0.53522,                  1.142,                 0.3618,                0.95018,             0.00048262,             0.00048262,             0.00048262
                     26,                0.69456,                 1.5231,                0.47159,                 1.0553,                0.95428,                0.97268,                  0.984,                 0.8532,                0.94683,                0.96546,                0.97951,                0.75495,                0.51572,                  1.129,                0.35019,                0.93961,             0.00048116,             0.00048116,             0.00048116
                     27,                0.68564,                 1.5142,                 0.4633,                 1.0513,                0.96661,                0.97319,                0.98498,                0.84953,                0.95586,                0.96663,                0.97869,                0.75477,                 0.5126,                 1.1289,                0.35456,                0.93821,             0.00047964,             0.00047964,             0.00047964
                     28,                0.68219,                 1.4959,                0.45774,                  1.046,                0.98106,                0.92184,                0.96435,                0.84514,                0.97591,                 0.9168,                0.96065,                0.74945,                0.51322,                 1.1214,                0.34583,                 0.9365,             0.00047807,             0.00047807,             0.00047807
                     29,                0.68707,                 1.5011,                0.45292,                  1.045,                0.94996,                0.97123,                0.97926,                0.85767,                0.94348,                0.96438,                 0.9743,                0.75731,                0.51055,                 1.1168,                0.33988,                0.93211,             0.00047644,             0.00047644,             0.00047644
                     30,                0.67185,                 1.4746,                0.44423,                 1.0403,                0.95752,                  0.977,                0.98506,                0.86997,                 0.9507,                0.97021,                0.97992,                0.76295,                0.50462,                 1.0947,                0.33919,                0.92743,             0.00047476,             0.00047476,             0.00047476
                     31,                 0.6818,                 1.4762,                0.44114,                 1.0361,                0.94247,                0.95186,                0.97835,                0.85585,                0.93779,                0.94739,                0.97285,                0.75641,                0.50058,                 1.0952,                0.33273,                 0.9216,             0.00047302,             0.00047302,             0.00047302
                     32,                0.66838,                 1.4587,                0.43268,                 1.0308,                0.96502,                0.97107,                0.98694,                0.86932,                0.96505,                0.97125,                0.98392,                0.76647,                0.49492,                   1.08,                 0.3266,                0.91459,             0.00047123,             0.00047123,             0.00047123
                     33,                0.66537,                 1.4516,                0.43136,                 1.0263,                0.96935,                0.98177,                 0.9875,                0.87059,                0.96542,                0.97784,                0.98471,                0.76654,                0.49546,                 1.0784,                0.32179,                0.91337,             0.00046939,             0.00046939,             0.00046939
