                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.67607,                 1.7395,                0.48551,                 1.0002,                0.96367,                 0.9726,                0.98744,                0.90299,                0.93795,                0.94102,                0.95006,                 0.6354,                0.45069,                 1.2881,                0.35759,                0.88283,              0.0004485,              0.0004485,              0.0004485
                     25,                0.67365,                 1.7274,                 0.4813,                 0.9973,                0.96417,                 0.9706,                0.98734,                0.90612,                0.93708,                0.94112,                0.94933,                0.63831,                0.44403,                 1.2891,                0.35546,                0.87826,              0.0004441,              0.0004441,              0.0004441
                     26,                0.66767,                 1.7067,                0.47161,                0.99356,                0.97027,                0.96999,                0.98755,                0.90794,                0.94352,                0.94161,                0.95142,                0.63921,                0.43989,                 1.2922,                0.35236,                0.87586,             0.00043955,             0.00043955,             0.00043955
                     27,                 0.6604,                 1.6986,                0.46884,                0.99071,                0.96954,                0.97594,                0.98802,                0.90973,                 0.9411,                0.94728,                0.95266,                0.64031,                0.43617,                 1.2913,                0.35353,                 0.8734,             0.00043484,             0.00043484,             0.00043484
                     28,                 0.6561,                 1.6787,                0.46143,                0.98718,                0.96866,                0.97523,                0.98762,                0.91094,                0.94153,                0.94665,                0.95316,                0.63878,                0.43372,                 1.2861,                0.35139,                0.87153,             0.00042999,             0.00042999,             0.00042999
                     29,                 0.6515,                 1.6705,                0.45511,                0.98072,                0.96993,                0.97587,                0.98792,                0.91219,                0.94319,                0.94907,                0.95433,                 0.6377,                0.43142,                 1.2834,                0.34996,                0.87019,             0.00042499,             0.00042499,             0.00042499
                     30,                0.64636,                 1.6596,                0.45076,                0.98174,                0.97019,                0.97557,                0.98813,                0.91236,                0.94311,                0.94898,                0.95475,                  0.638,                0.42968,                 1.2821,                 0.3478,                0.86899,             0.00041985,             0.00041985,             0.00041985
                     31,                0.63849,                 1.6449,                0.44372,                0.97749,                0.96977,                 0.9753,                0.98841,                0.91312,                0.94397,                0.94985,                0.95671,                0.63892,                0.42784,                 1.2796,                0.34513,                0.86744,             0.00041458,             0.00041458,             0.00041458
                     32,                0.63371,                 1.6361,                 0.4389,                 0.9747,                0.97291,                0.97723,                0.98905,                0.91414,                0.94713,                0.95023,                0.95724,                0.63997,                0.42558,                 1.2785,                0.34508,                0.86606,             0.00040917,             0.00040917,             0.00040917
                     33,                0.62661,                 1.6244,                0.43102,                0.97192,                0.97465,                0.97644,                0.98906,                0.91506,                0.94865,                0.94882,                0.95736,                0.64174,                0.42373,                 1.2738,                0.34381,                0.86481,             0.00040364,             0.00040364,             0.00040364
                     34,                0.62052,                 1.6104,                0.42394,                0.97131,                0.97564,                0.97504,                0.98923,                0.91522,                0.95038,                0.95007,                0.95856,                0.64121,                0.42158,                 1.2718,                0.34227,                0.86374,             0.00039798,             0.00039798,             0.00039798
                     35,                0.61937,                 1.6096,                0.42221,                0.96597,                 0.9759,                 0.9767,                0.98927,                0.91597,                0.95074,                0.95075,                0.95792,                0.64131,                0.41975,                 1.2701,                0.33976,                0.86253,              0.0003922,              0.0003922,              0.0003922
                     36,                0.61436,                 1.5971,                0.41755,                0.96285,                0.97643,                0.97697,                 0.9895,                0.91579,                0.95275,                0.95267,                0.95909,                0.64217,                0.41851,                  1.267,                 0.3377,                0.86169,             0.00038631,             0.00038631,             0.00038631
                     37,                0.61084,                 1.5983,                0.41315,                0.95845,                 0.9764,                0.97799,                0.98992,                0.91544,                0.95325,                0.95356,                0.95926,                0.64263,                0.41677,                 1.2639,                 0.3368,                0.86066,             0.00038031,             0.00038031,             0.00038031
                     38,                0.60713,                 1.5833,                 0.4078,                0.95462,                0.97726,                0.97813,                0.99011,                0.91612,                0.95403,                0.95434,                0.96022,                0.64383,                0.41548,                 1.2626,                0.33543,                0.85965,              0.0003742,              0.0003742,              0.0003742
                     39,                0.60042,                  1.572,                0.40311,                0.95668,                0.97801,                0.97857,                0.99028,                0.91656,                0.95527,                0.95524,                 0.9615,                0.64436,                0.41374,                 1.2609,                0.33322,                 0.8587,               0.000368,               0.000368,               0.000368
                     40,                0.60014,                 1.5712,                0.40151,                0.94945,                 0.9786,                0.97846,                0.99048,                0.91745,                0.95607,                0.95493,                0.96123,                0.64382,                0.41251,                   1.26,                0.33178,                0.85784,              0.0003617,              0.0003617,              0.0003617
                     41,                0.59647,                 1.5667,                0.39597,                0.94709,                0.97956,                0.97987,                 0.9906,                0.91764,                0.95766,                0.95729,                0.96279,                0.64387,                0.41065,                  1.259,                  0.331,                0.85676,             0.00035532,             0.00035532,             0.00035532
                     42,                0.58728,                 1.5512,                0.39115,                0.94755,                0.98014,                0.98012,                 0.9906,                0.91854,                0.95741,                0.95774,                0.96294,                0.64418,                0.40909,                 1.2568,                0.32917,                0.85582,             0.00034884,             0.00034884,             0.00034884
                     43,                0.58439,                 1.5501,                0.38784,                0.94287,                0.98274,                0.97991,                0.99065,                0.91937,                0.95997,                0.95764,                0.96336,                0.64506,                0.40746,                  1.255,                 0.3278,                0.85483,             0.00034229,             0.00034229,             0.00034229
                     44,                0.58188,                 1.5432,                0.38491,                0.94066,                  0.983,                0.98012,                 0.9907,                0.91999,                0.96037,                0.95818,                0.96343,                0.64547,                 0.4058,                 1.2532,                0.32656,                0.85387,             0.00033567,             0.00033567,             0.00033567
                     45,                0.58026,                 1.5362,                0.38154,                0.94209,                0.98326,                0.98043,                0.99078,                0.91988,                0.96051,                0.95822,                0.96306,                0.64636,                0.40471,                 1.2509,                0.32416,                0.85297,             0.00032898,             0.00032898,             0.00032898
                     46,                 0.5695,                 1.5195,                0.37752,                0.94203,                0.98387,                0.98133,                0.99094,                0.92116,                0.96115,                0.95911,                0.96324,                0.64761,                0.40359,                 1.2479,                0.32133,                0.85206,             0.00032223,             0.00032223,             0.00032223
                     47,                0.57281,                 1.5309,                0.37698,                0.93872,                0.98443,                0.98155,                0.99101,                0.92241,                0.96143,                0.95917,                0.96324,                0.64834,                0.40188,                 1.2468,                0.31922,                0.85095,             0.00031542,             0.00031542,             0.00031542
                     48,                0.56576,                 1.5112,                0.37224,                0.93616,                0.98417,                0.98209,                0.99101,                0.92321,                0.96142,                0.95957,                0.96364,                0.64887,                0.40071,                 1.2448,                0.31739,                0.84991,             0.00030856,             0.00030856,             0.00030856
                     49,                0.56367,                 1.5084,                0.37055,                0.93497,                0.98414,                0.98215,                0.99105,                0.92383,                0.96115,                0.95934,                0.96341,                0.64903,                0.39968,                 1.2416,                0.31475,                0.84896,             0.00030165,             0.00030165,             0.00030165
                     50,                0.55949,                 1.5119,                0.36695,                0.93334,                 0.9851,                0.98232,                0.99123,                0.92475,                0.96218,                0.95975,                0.96423,                0.64989,                0.39789,                  1.239,                0.31151,                0.84777,              0.0002947,              0.0002947,              0.0002947
                     51,                0.56269,                 1.5067,                0.36647,                0.92925,                0.98544,                  0.982,                 0.9913,                0.92555,                0.96248,                0.95968,                0.96464,                0.65052,                0.39672,                  1.237,                0.31005,                0.84675,             0.00028772,             0.00028772,             0.00028772
                     52,                0.55693,                 1.4975,                0.36177,                0.93042,                 0.9846,                0.98217,                0.99158,                0.92636,                0.96224,                0.96008,                0.96478,                0.65134,                0.39498,                 1.2346,                0.30873,                0.84571,             0.00028071,             0.00028071,             0.00028071
                     53,                0.54989,                 1.4917,                0.35909,                0.92765,                0.98505,                0.98233,                0.99153,                0.92721,                0.96221,                0.96011,                0.96477,                0.65191,                0.39409,                 1.2328,                0.30876,                0.84487,             0.00027368,             0.00027368,             0.00027368
                     54,                0.54814,                 1.4879,                0.35699,                0.92762,                0.98537,                0.98279,                0.99159,                0.92779,                0.96175,                0.95983,                0.96474,                0.65242,                0.39262,                 1.2313,                0.30866,                0.84385,             0.00026663,             0.00026663,             0.00026663
                     55,                0.54457,                 1.4804,                0.35371,                0.92004,                0.98554,                0.98261,                0.99152,                0.92851,                 0.9624,                0.96013,                0.96525,                0.65226,                0.39109,                 1.2296,                0.30741,                0.84294,             0.00025957,             0.00025957,             0.00025957
                     56,                0.54336,                  1.482,                0.35254,                0.92076,                0.98595,                0.98317,                0.99167,                0.92871,                0.96284,                0.96071,                0.96532,                0.65278,                 0.3896,                 1.2281,                0.30526,                 0.8419,              0.0002525,              0.0002525,              0.0002525
                     57,                0.54012,                  1.463,                0.35089,                0.92024,                0.98589,                0.98326,                0.99181,                0.92975,                0.96314,                0.96106,                0.96543,                0.65281,                0.38803,                 1.2264,                0.30332,                0.84097,             0.00024543,             0.00024543,             0.00024543
                     58,                0.53593,                 1.4618,                0.34606,                0.91984,                0.98543,                 0.9834,                0.99185,                 0.9301,                0.96309,                0.96182,                  0.966,                0.65481,                0.38657,                 1.2245,                0.30288,                0.83995,             0.00023837,             0.00023837,             0.00023837
                     59,                0.53106,                 1.4578,                0.34365,                0.91651,                0.98585,                0.98335,                0.99188,                0.93073,                0.96396,                0.96185,                0.96614,                0.65528,                0.38551,                 1.2238,                0.30082,                0.83905,             0.00023132,             0.00023132,             0.00023132
                     60,                 0.5329,                 1.4577,                0.34479,                0.91639,                0.98588,                 0.9838,                0.99206,                0.93119,                0.96387,                0.96199,                0.96631,                0.65594,                0.38419,                 1.2227,                0.29974,                 0.8382,             0.00022429,             0.00022429,             0.00022429
